Question,Answer,,
"@Xulfiqar Sir i want to know what precautions should we take when we overhaul a 2.5 kva generator? I have to replace to block as it has been cracked... and also the connecting rod is broken, now i want to overhaul then engine, the mechanic said that he will install new block and he will also bore it... Now i want to know how to make sure that rings seat properly, as i have read your post regarding break in period of car that we should not hold on one rpm and also not idle for break in period... So how can we manage that on generator? And also tell me other things like should i run it without load initially and also tell me can i do the break in period on gas or not? and plz also point other points of precautions... @Hassan1991 @brownrose78 @capsat @ etc **Yes i do have copied the title","To ensure a successful overhaul of your 2.5 kVA generator engine, it's crucial to follow the service manual diligently. The rebuild process should mirror that of a standard engine, with particular attention to setting gaps correctly to eliminate the need for a break-in period. Additionally, understanding the generator's specific RPM range, governed by controllers, is essential. While removing these controllers may allow RPM control akin to an engine, adherence to the manual's instructions renders this unnecessary. Marking components during disassembly facilitates straightforward reinstallation. Regarding fuel, a preference for petrol over CNG is recommended, given CNG's propensity for running hotter and drier. Regular oil changes, slightly before scheduled intervals, aid in draining any metal dust accumulation, with periodic switches between CNG and petrol advised to mitigate adverse effects on valves and valve seats. Lastly, consider adjusting tappets during the second oil change, typically occurring between 80-90 hours of operation.",,
"First time building my audio system for a 2009 Corolla, needed component recommendations as I was interested in genuine stuff only. I was looking for an SQ build and I'm from Karachi. You could also share the legitimate seller's information too who deal in original products only! Your suggestions will be appreciated.","If you're looking to set up an audio system, here are some recommendations: Start with the basics, including a 4-channel 1000W amplifier (preferably Pioneer or Sony), a sealed box subwoofer (10"" JBL or Champion series Pioneer recommended), and quality components with crossovers and mods (preferably Pioneer). For those interested, a complete audio system setup is available for sale, including high-quality components such as Cadence Q65K components, Sony XM-N1004 amplifier, Pioneer 311D4 subwoofer, and branded wiring. All components are in excellent working condition, rated 9 out of 10, with a good cosmetic appearance. The asking price for the entire setup is 25,000 rupees.",,
"Hi, my car doesn’t have a thermostat valve and do i need to get a thermostat installed in my 2c engine i have bought car like this My car is 1982 corolla with 2c engine(front fan) and does this fan works with accelerator or this is a jugaar on my car as i give accelerator fan starts to spin fast and continous flow of water in radiator and i want to flush my radiator with coolant any recommendation which is low price. Another question 2c engine required oil and what about lifter that pumps fuel mechanic told me to replace that my car starts good without any issue and good race acceleration , and recommended oil for 5 speed manual transmission and diff oil which one should i get do mention quantity of oil too","Flush your cooling system with Citric acid, change all ribber pipes and hoses and drive on water for a couple of days. If everything remains ok, drain and fill with coolant. The stock 4K engine in 1982 Corolla comes with a belt driven fan. Use Shell HX7 or HX5 for the engine. If the fuel pump is ok, leave it as it is. For manual transmission, check which gearbox is installed and then Google the recommended grade.",,
"Salam, The car in question is 7th gen civic.The upper rubber trim of windshield has become brittle and is cracking. There is also a small rust spec along the upper channel. Need to know if its possible to remove and replace this trim without removing the windshield. The manual does not state the rubber trim replacement as a process, rather only as part of windshield replacement where it is applied on the glass first.","Glass installation typically requires the expertise of professional installers who can perform a glass-out job. Quality installers, often found through reputable shops, offer primer and use specialized tools like piano wire to cut glass urethane, ensuring precision and minimizing the risk of water leakage. Moldings are removable and usually the first step in windshield removal. While damage to moldings can complicate the process, it's essential to remove the screen for proper repair. Additionally, having Sika polyurethane on hand is recommended for potential removal needs. Dealerships and established shops often have contacts for skilled installers, ensuring reliable and high-quality workmanship.",,
"helo guys , this is my second thread on PW before this i rebuilt cultus and i hope many of you guys have seen that thread , so here i am overhauling my 2500 Watt chinese honda clone generator which is serving in my home for last more than 3 years , it run all his life on natural gas and with ATS , means it kicks in even when we dont need it especially at night and thats the reason why it has such a high reading on its hour meter ,,,,,,,,more than 2500 hours , and now there is nothing left in it , as you know summer is approaching and so does the heavy load shading which some time goes to 10 hours a day in rwp , so its time to rebuilt it other wise it will creat lot of trouble in peak summer/load shading season , also try to show you how to instal a natural gas kit after certain modication in gas kit so that it the engine always starts on half crank on natural/sui gas ,,,,,,,,,,and if posible also try my best to share the ATS circuit , i made that on my own but honestelly speaking i hardelly remember any thing as its almost 3 year old , will try to copy that , that ATS is installed on generator in parts , so i plan to remove all the components and put them in one box of stabilizer so that it looks good and also it will be easy to shift that ATS on some other generator , as i have a plan to buy a bigger generator and shift that ATS on it , right now its hard to remove that ATS as it is splitted in 4 parts , any how will share that later , any suggestion/comments are most welcome , thanks",love ur threads bro i have loncin 3500DA bought last year April runs good but one thing is now in winters it needs to get started on petrol first then conversion on gas is required and the problem is when it cools down it again needs same thing should i get it tuned or not i am using mobi Askri speacial oil 20-50W i used Zic A 10w 40 in it is it due to oil or it needs tuneup,,
"helo guys , this is my second thread on PW before this i rebuilt cultus and i hope many of you guys have seen that thread , so here i am overhauling my 2500 Watt chinese honda clone generator which is serving in my home for last more than 3 years , it run all his life on natural gas and with ATS , means it kicks in even when we dont need it especially at night and thats the reason why it has such a high reading on its hour meter ,,,,,,,,more than 2500 hours , and now there is nothing left in it , as you know summer is approaching and so does the heavy load shading which some time goes to 10 hours a day in rwp , so its time to rebuilt it other wise it will creat lot of trouble in peak summer/load shading season , also try to show you how to instal a natural gas kit after certain modication in gas kit so that it the engine always starts on half crank on natural/sui gas ,,,,,,,,,,and if posible also try my best to share the ATS circuit , i made that on my own but honestelly speaking i hardelly remember any thing as its almost 3 year old , will try to copy that , that ATS is installed on generator in parts , so i plan to remove all the components and put them in one box of stabilizer so that it looks good and also it will be easy to shift that ATS on some other generator , as i have a plan to buy a bigger generator and shift that ATS on it , right now its hard to remove that ATS as it is splitted in 4 parts , any how will share that later , any suggestion/comments are most welcome , thanks",well i have same kit which is on Yamaha generator in this thread and one thing i am running a gas pipe from kitchen to the place where generator is and its about 50feet plus but i have taken pipe up in celing its rubber pipe good quality is this non starting thing due to this is it getting less pressure one more thing my Gen came with AVR automatic voltage regulator its 2.5KV max but when light goes for a long times in summer lets say continues 5 hrs then we turn on fridge on it and it runs fine i run PC and 5 Fans including a peadistal 4 blade about 1.5 kv load i guess we put on it but when i was using it in winters i noticed as its used for lights and light was fluctuating but when i turned on the pc it became stable plus we also have an old tiger 1250 petrol which we have since summers of 2004 and its on petrol had some carb problems and i changed the carb in 2010 i kept it in case of emergency,,
"I have a Nissan Sunny 1998 model with a diesel engine that has been modified with a GA15DE engine. I am experiencing issues when driving in traffic jam areas, particularly when I am in first or second gear. The car starts to hesitate and eventually stalls. After a short while, I can start it again by using the self-start button. This issue occurs regardless of whether I am using CNG or petrol as fuel. However, on the highway, the car runs smoothly. Occasionally, it may hesitate in the third gear but does not stall.",it is purely an electrical issue. The engine ecu is it correctly wired up? ignition timing is out of specs / or the igniter in distributor is leaky short circuit is more strong at idle. causing engine to die,,
"I have a Nissan Sunny 1998 model with a diesel engine that has been modified with a GA15DE engine. I am experiencing issues when driving in traffic jam areas, particularly when I am in first or second gear. The car starts to hesitate and eventually stalls. After a short while, I can start it again by using the self-start button. This issue occurs regardless of whether I am using CNG or petrol as fuel. However, on the highway, the car runs smoothly. Occasionally, it may hesitate in the third gear but does not stall.",Check its wiring because 90% people don’t wire efi engines properly. Also check its ignition timing should be 8-10 degree. Also check spark plug wires if they are leaking or spark plug seals are leaking and leaving oil residue on spark plug wire tips.,,
"This thread is dedicated for discussion on Civic 2010 Navigation Panel only. I just want to post few ideas and want to know if that can be done. There is option of TV in navigation panel so is there any option on backside of the panel to attach antenna with it and will channels like PTV and STN work with it then. Or is there any other way I connect TV to that navigation panel. Secondly, how do we use REAR Camera while not in reverse gear. There is a option of rear in Meny but when I click on it it displays black screen. There is arrow on the top right when I press it and enters code 0000 it accepts and give me option to confirm but when i press it nothing happens. (0000 is accepted while any other code it gives error) Thirdly, my memory card SD is on FAT32 file system with 5 folders and 10 songs in each folder but the system does not play it. Does anybody know why and how can I use it? Fourth, How can I update my maps and stuff because i think its outdated. I have a trick to change the picture that you see when you switch off your navigation mode. Open the memory card in your computer and you will see that ROAD picture. Open the picture in Paint Brush and edit as you want. You can paste your picture or add text to existing picture. customization looks good. I have done that and it works. (To avoid problems first copy your memory card as it is to your computer as a back up)","In the context of vehicle technology, a discussion on Civic 2010 Navigation Panel unfolded with queries and insights. Users explored the feasibility of connecting a TV to the navigation panel through antennae, addressing issues with reception and camera power. There was a dialogue on the dual-wire setup of rear-view cameras for both reverse gear and normal driving, with varying opinions on the necessity of using them while driving. Troubleshooting included resolving problems with FAT32-formatted SD cards, and a suggestion was made to update navigation maps using new image files. Additionally, a creative tip for customizing the startup picture on the navigation mode was shared. The discussion shed light on challenges and solutions related to vehicle entertainment systems and technology.",,
My car's tire measurements are 185/65. Recently one of the back tire got into an accident and got burst. Thankfully I had a tire which was of 185/60 that I got installed. Is that a issue that the back tires of my car have 2 different tire profiles (one is 185/65 and another is 185/60)?,"Quite a big issue, among many things that will be affected will be Handling, Stability, Tire wear (damage risk), Suspension wear, Economy, Comfort, etc. The difference may seem small but the diameter difference cannot be kept like this. Best would be to go for the same sized tire on the affected side, so all are of the same profile.",,
